study_duration_days,study_eq_bins,study_eq_labels,num_oms,number_of_intervention_types,num_locations,number_of_conditions,allocation,masking,enroll_count,biological_intervention,procedure_intervention,drug_intervention,radiation_intervention,treatment_purpose,prevention_purpose,us_led,us_included,nci_sponsor,spacy_aes_outcome,spacy_osr_outcome,spacy_mtd_outcome,spacy_dor_outcome,spacy_dlt_outcome,spacy_cmax_outcome,spacy_aes_lead_outcome,spacy_dlt_lead_outcome,spacy_mtd_lead_outcome,spacy_tmax_outcome
1567.0,Low,0,6,1,0,1,missing,False,64.0,False,False,False,False,1,0,False,False,False,True,False,True,False,True,False,False,True,True,missing
1917.0,High,1,7,2,3,3,False,False,41.0,False,False,False,False,1,0,True,True,False,False,False,True,False,True,False,False,True,True,missing
1279.0,Low,0,4,1,1,2,False,False,55.0,False,False,False,False,1,0,False,False,False,False,True,True,False,True,True,False,True,True,True
1310.0,Low,0,4,4,1,1,False,False,48.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
214.0,Low,0,0,1,1,1,missing,False,2.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
1369.0,Low,0,0,4,1,1,False,False,5.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
3287.0,High,1,4,6,1,1,missing,False,15.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
6579.0,High,1,4,5,0,1,False,False,54.0,False,False,False,False,1,0,False,False,False,False,False,False,False,True,True,False,True,False,True
4547.0,High,1,6,5,1,1,missing,False,5.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
2648.0,High,1,5,2,1,1,missing,False,42.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,True,False,False,False,True
2618.0,High,1,4,4,1,1,missing,False,31.0,False,False,False,False,1,0,True,True,False,True,True,False,False,False,True,True,False,False,True
1918.0,High,1,3,4,2,1,missing,False,12.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
1887.0,High,1,15,1,7,1,missing,False,31.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
2557.0,High,1,9,8,17,1,False,False,23.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
2223.0,High,1,2,9,1,1,True,True,50.0,False,False,False,False,1,0,True,True,False,False,False,True,False,True,False,False,True,True,missing
2404.0,High,1,4,5,10,1,missing,False,20.0,False,False,False,False,1,0,False,False,False,False,False,True,False,True,False,False,True,True,missing
3256.0,High,1,1,8,3,1,False,False,44.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
4147.0,High,1,2,3,1,1,missing,False,32.0,False,False,False,False,1,0,True,True,False,False,True,False,False,False,False,False,False,False,missing
2241.0,High,1,1,2,1,1,missing,False,17.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
2406.0,High,1,2,3,76,1,False,False,91.0,False,False,False,False,1,0,True,True,False,False,True,False,False,False,False,False,False,False,missing
2251.0,High,1,2,2,1,1,missing,False,26.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
2157.0,High,1,9,3,3,2,missing,False,10.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
3072.0,High,1,0,1,1,1,missing,True,30.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
1492.0,Low,0,1,9,1,1,missing,False,78.0,False,False,False,False,1,0,True,True,False,False,False,True,False,True,False,False,True,True,missing
1277.0,Low,0,11,3,0,6,False,False,33.0,False,False,False,False,1,0,False,False,False,True,True,True,False,True,False,True,True,True,missing
