protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,survival_5yr_relative,phase_PHASE1_PHASE2,phase_PHASE2_PHASE3,phase_PHASE2
NCT03325816,493,995.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,2,4,1,2,0,17.0,28.0,2,0.0,2.0,1.0,1.0,1.0,0.0,9.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,360.0,720.0,0.99,True,False,False
NCT01263704,2087,2087.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,12,1,4.0,13.0,3,1.0,0.0,1.0,1.0,0.0,0.0,42.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,1260.0,1590.0,0.65,False,False,True
NCT02303028,2665,2665.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,0,10,1,62.0,9.0,1,0.0,0.0,0.0,1.0,1.0,0.0,30.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,720.0,0.68,True,False,False
NCT02599779,1704,1708.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,2,1,3,1,14.0,33.0,2,0.0,0.0,1.0,0.0,0.0,0.0,4.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,1080.0,1080.0,0.175,False,False,True
NCT03056339,2084,2084.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,4,1,2,1,0,14.0,7.0,5,0.0,0.0,1.0,0.0,1.0,0.0,49.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,40.0,100.0,0.83,True,False,False
NCT03712904,1138,1232.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,1,2,1,1,0,8.0,18.0,2,0.0,1.0,1.0,1.0,1.0,0.0,3.0,True,1,0,0,0,0,0,0,0,0,0,0,0,1,730.0,730.0,0.94,False,False,True
NCT02419287,2801,2801.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,1,1,21.0,14.0,1,0.0,0.0,1.0,0.0,1.0,0.0,12.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,1825.0,1825.0,0.83,False,False,True
NCT02259582,796,796.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,3,1,45,2,13.0,20.0,3,1.0,1.0,1.0,1.0,1.0,3.0,82.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,780.0,,0.99,False,False,True
NCT01994382,2664,2664.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,5,3,1,0,0,19.0,21.0,2,1.0,0.0,1.0,0.0,0.0,0.0,260.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,30.0,0.83,True,False,False
NCT01288534,1826,1826.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,2,0,13.0,18.0,1,0.0,0.0,1.0,1.0,1.0,0.0,68.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,720.0,1825.0,0.175,False,False,True
NCT06238752,730,1036.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,1,1,21.0,36.0,1,0.0,0.0,0.0,1.0,1.0,0.0,33.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,365.0,,0.175,False,False,True
NCT02071940,1979,1979.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,8,1,16.0,14.0,1,0.0,0.0,1.0,1.0,1.0,0.0,7.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,180.0,1825.0,0.94,False,False,True
NCT02246049,1007,1007.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,1,1,16.0,24.0,5,0.0,0.0,1.0,1.0,1.0,0.0,69.0,True,1,0,0,0,0,0,0,0,0,0,1,0,1,300.0,900.0,0.175,False,False,True
NCT01608022,1004,1187.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,1,1,20.0,11.0,1,0.0,0.0,1.0,0.0,1.0,0.0,48.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.99,False,False,True
NCT01827787,1096,1096.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,2,1,7,0,9.0,13.0,1,0.0,1.0,0.0,1.0,0.0,0.0,83.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,780.0,780.0,0.99,False,False,True
