protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,max_treatment_duration,min_treatment_duration,survival_5yr_relative,phase_PHASE2_PHASE3,phase_PHASE3
NCT01871727,3112.0,3120.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,1,1,22,2,35.0,14.0,1,1,0.0,1,0.0,1.0,0.0,112.0,False,1,0,0,0,0,0,0,1,0,0,0,1,1,900.0,900.0,730,180,0.83,False,True
NCT01734928,3409.0,3413.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,321,2,7.0,7.0,3,1,1.0,1,1.0,1.0,0.0,559.0,False,1,0,0,0,0,0,0,1,0,0,1,1,1,1260.0,1950.0,180,90,0.598,False,True
NCT02361099,1277.0,1367.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,2,1,9,1,18.0,7.0,1,0,1.0,1,0.0,1.0,0.0,133.0,False,0,1,0,0,0,0,0,0,0,0,1,0,0,720.0,720.0,49,14,0.99,False,True
NCT01974024,1003.0,1034.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,2,1,2,1,3.0,4.0,1,0,2.0,0,0.0,1.0,1.0,65.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,60.0,60.0,4320,14,0.68,False,True
NCT01315795,1218.0,1218.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,1,1,1,1,11.0,10.0,1,0,0.0,0,0.0,1.0,0.0,59.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,540.0,540.0,1080,360,0.175,True,False
NCT04196075,1095.0,1217.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,1,1,1,1,4.0,3.0,1,0,0.0,0,1.0,1.0,0.0,30.0,False,0,0,0,1,0,0,0,1,0,0,0,0,1,120.0,1080.0,49,14,0.99,False,True
NCT02810457,869.0,1967.0,"(758.0, 1321.333]","(1783.0, 4722.0]",2,1,1,2,1,147,2,10.0,13.0,4,1,1.0,1,1.0,1.0,4.0,731.0,False,1,0,0,0,0,0,0,1,0,0,1,1,0,900.0,900.0,49,14,0.99,False,True
NCT02890784,2433.0,2433.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,53,1,15.0,22.0,1,0,1.0,0,1.0,1.0,0.0,291.0,False,1,0,0,0,0,0,0,1,0,0,0,0,1,720.0,720.0,1095,730,0.65,False,True
NCT02044380,702.0,702.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,1,1,5,1,16.0,26.0,1,1,0.0,1,1.0,1.0,0.0,14.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,560.0,,49,14,0.99,False,True
NCT02264990,1871.0,1970.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,140,2,5.0,5.0,5,1,1.0,1,0.0,1.0,0.0,595.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1359.0,1359.0,49,14,0.99,False,True
NCT02576509,1270.0,2984.0,"(758.0, 1321.333]","(1783.0, 4722.0]",2,1,1,2,1,138,2,5.0,4.0,2,1,1.0,1,1.0,1.0,0.0,743.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1230.0,1200.0,1080,360,0.175,False,True
NCT03067792,686.0,686.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,2,1,0,1,9.0,11.0,2,0,1.0,1,0.0,1.0,0.0,52.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,730.0,730.0,4320,14,0.68,False,True
NCT03491540,1876.0,1926.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,1,1,4.0,18.0,5,0,1.0,1,0.0,1.0,2.0,414.0,False,0,0,1,0,0,0,0,1,0,0,0,0,0,30.0,90.0,4320,14,0.68,False,True
NCT04032119,1086.0,1117.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,2,2,1,7,1,2.0,10.0,2,0,1.0,0,1.0,1.0,2.0,800.0,False,1,0,0,0,1,0,0,1,0,0,0,0,1,,30.0,4320,14,0.68,False,True
NCT01724450,1522.0,1522.0,"(1321.333, 4538.0]","(1004.0, 1783.0]",1,2,3,2,1,1,1,0.0,2.0,2,0,1.0,0,0.0,1.0,4.0,200.0,False,0,0,1,0,0,0,0,1,0,0,0,0,0,672.0,672.0,1825,365,0.99,False,True
NCT01458717,2253.0,2253.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,5,1,11.0,8.0,2,0,1.0,0,1.0,1.0,0.0,58.0,False,1,0,0,0,1,0,0,1,0,0,1,0,0,,42.0,4320,14,0.68,True,False
NCT02634294,2314.0,2314.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,2,1,0,1,1,7.0,6.0,1,0,0.0,0,0.0,1.0,0.0,30.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,90.0,365.0,4320,14,0.68,True,False
NCT01861015,304.0,304.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,2,1,1,1,4.0,6.0,2,0,1.0,0,0.0,1.0,3.0,60.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,,,4320,14,0.68,False,True
NCT02661971,2009.0,2210.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,2,2,1,2,1,24.0,37.0,5,0,1.0,1,1.0,1.0,0.0,180.0,False,1,0,0,0,0,0,0,1,0,1,1,0,0,1095.0,1825.0,4320,14,0.68,True,False
NCT02997202,2093.0,2162.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,118,2,54.0,20.0,2,1,1.0,1,1.0,1.0,4.0,356.0,False,1,0,0,0,0,0,0,1,0,0,1,0,1,2880.0,2007.5,1095,730,0.65,False,True
NCT03288987,664.0,664.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,2,1,22,1,18.0,18.0,1,1,1.0,1,1.0,1.0,2.0,126.0,False,1,0,0,0,0,0,0,1,0,0,1,0,1,360.0,360.0,1080,360,0.175,False,True
NCT02376985,1101.0,1300.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,2,1,1,1,28.0,22.0,2,0,1.0,1,1.0,1.0,0.0,174.0,False,1,0,0,0,1,0,0,1,0,0,0,0,0,56.0,56.0,1825,365,0.99,False,True
NCT02864251,1770.0,2040.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,3,1,110,2,12.0,20.0,5,1,1.0,1,1.0,1.0,0.0,367.0,False,1,0,0,0,0,0,0,1,0,1,1,1,0,1740.0,2010.0,49,14,0.99,False,True
NCT01649856,788.0,1484.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,2,1,186,1,11.0,12.0,3,1,1.0,1,1.0,1.0,0.0,572.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1551.25,1551.25,730,180,0.83,False,True
NCT02303119,2339.0,2339.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,3,1,50,1,23.0,21.0,2,0,1.0,1,0.0,1.0,0.0,221.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,2007.5,2007.5,730,180,0.83,False,True
NCT02548338,61.0,212.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,2,1,0,1,1.0,1.0,1,0,1.0,0,1.0,1.0,0.0,60.0,False,1,0,0,0,1,0,0,0,0,0,0,0,0,30.0,,1825,365,0.99,True,False
NCT03031938,944.0,944.0,"(758.0, 1321.333]","(90.999, 1004.0]",0,1,3,1,0,6,0,3.0,1.0,1,1,0.0,1,1.0,1.0,0.0,4.0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,900.0,,4320,14,0.68,False,True
NCT03353740,1077.0,1077.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,1,1,1,0,14.0,5.0,1,0,0.0,2,1.0,1.0,0.0,346.0,False,0,1,0,0,0,0,0,1,0,0,0,0,1,1.0,180.0,1080,360,0.175,False,True
NCT03764943,912.0,1004.0,"(758.0, 1321.333]","(90.999, 1004.0]",0,1,7,1,1,1,0,2.0,11.0,1,0,0.0,1,1.0,1.0,0.0,125.0,False,0,0,0,1,0,0,0,0,0,0,0,0,0,30.0,90.0,1825,365,0.99,False,True
NCT03770403,1210.0,1217.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,1,1,52,2,4.0,6.0,1,1,0.0,1,1.0,1.0,0.0,151.0,False,1,0,0,0,0,0,0,0,0,1,0,0,1,1095.0,1095.0,4320,14,0.68,False,True
NCT02511405,825.0,1156.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,2,1,57,2,15.0,17.0,2,1,1.0,1,1.0,1.0,0.0,252.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,3650.0,3650.0,4320,1080,0.326,False,True
NCT01774344,1021.0,2243.0,"(758.0, 1321.333]","(1783.0, 4722.0]",2,1,1,2,1,0,2,16.0,14.0,2,1,1.0,1,1.0,1.0,4.0,573.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,419.0,990.0,1080,360,0.175,False,True
NCT02220894,1405.0,2874.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,0,1,16.0,37.0,4,1,1.0,1,1.0,1.0,0.0,1274.0,False,1,0,0,0,0,0,0,1,0,1,1,0,1,1320.0,1320.0,49,14,0.99,False,True
NCT02928406,2203.0,2203.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,1,1,175,1,11.0,9.0,1,1,0.0,1,1.0,1.0,0.0,1004.0,False,1,0,0,0,0,0,0,1,0,0,1,1,1,2190.0,2190.0,4320,14,0.68,False,True
NCT01984632,395.0,395.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,2,1,4,1,6.0,7.0,2,0,1.0,0,0.0,1.0,0.0,80.0,False,1,0,0,0,1,0,0,0,0,0,0,0,0,,90.0,4320,14,0.68,False,True
NCT02104830,273.0,395.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,3,1,13,1,21.0,16.0,5,1,1.0,1,0.0,1.0,2.0,135.0,False,0,0,0,1,0,0,0,0,0,1,0,0,0,21.0,112.0,4320,14,0.68,False,True
NCT03053440,1973.0,1973.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,80,2,14.0,19.0,2,1,1.0,1,1.0,1.0,0.0,201.0,False,1,0,0,0,0,0,0,1,0,0,0,1,1,730.0,1825.0,4320,14,0.68,False,True
NCT02893254,487.0,540.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,2,1,0,1,15.0,27.0,2,1,1.0,1,0.0,1.0,2.0,438.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,168.0,168.0,4320,14,0.68,False,True
NCT01846611,1555.0,1857.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,3,2,1,0,2,26.0,20.0,4,1,1.0,1,1.0,1.0,0.0,581.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1569.5,1569.5,4320,14,0.68,False,True
NCT02369874,1097.0,1892.0,"(758.0, 1321.333]","(1783.0, 4722.0]",2,1,1,3,1,169,2,16.0,21.0,3,1,1.0,1,1.0,1.0,0.0,736.0,False,1,0,0,0,0,0,0,1,0,0,1,1,1,1080.0,1080.0,49,14,0.99,False,True
NCT01932385,912.0,1094.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,2,1,1,1,6.0,4.0,2,0,1.0,0,0.0,1.0,0.0,86.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,360.0,360.0,1080,360,0.175,True,False
NCT02420821,1731.0,2399.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,154,2,7.0,21.0,3,1,1.0,1,1.0,1.0,0.0,915.0,False,1,0,0,0,0,0,0,1,0,0,1,1,0,1710.0,1710.0,1080,360,0.175,False,True
NCT01668784,939.0,3205.0,"(758.0, 1321.333]","(1783.0, 4722.0]",2,1,1,2,1,168,2,9.0,7.0,2,1,1.0,1,1.0,1.0,0.0,821.0,False,1,0,0,0,0,0,0,1,0,1,1,0,1,900.0,3180.0,1080,360,0.175,False,True
NCT01584648,479.0,2491.0,"(19.999, 758.0]","(1783.0, 4722.0]",2,0,1,2,1,121,2,7.0,10.0,3,1,1.0,1,1.0,1.0,4.0,423.0,False,1,0,0,0,0,0,0,1,0,0,1,1,1,2190.0,2190.0,730,150,0.94,False,True
NCT02311543,797.0,832.0,"(758.0, 1321.333]","(90.999, 1004.0]",0,1,1,2,1,16,1,16.0,6.0,1,0,1.0,1,1.0,1.0,1.0,142.0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0,168.0,1825,365,0.99,False,True
NCT01250379,1034.0,1489.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,2,1,0,1,10.0,12.0,2,1,1.0,1,1.0,1.0,0.0,494.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1095.0,1460.0,1825,365,0.99,False,True
NCT02591030,925.0,1493.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,2,1,42,1,14.0,10.0,2,0,1.0,1,0.0,1.0,0.0,191.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,2190.0,2190.0,4320,14,0.68,True,False
