protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,phase,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,max_treatment_duration,min_treatment_duration,survival_5yr_relative,conditions_category_num
NCT02519452,783,2720.0,"(761.0, 1359.667]","(1594.0, 4453.0]",2,1,1,5,1,0,2,15.0,8.0,2,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,120,False,1,0,0,0,0,0,0,0,0,0,0,1,1,1241.0,730.0,180,90,0.598,0
NCT01264432,2145,2145.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,5,1,1,3,2,21.0,15.0,4,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,34,False,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,1460.0,1440,360,0.99,3
NCT03178032,1346,1346.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,2,1,0,1,1,9.0,17.0,1,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,12,False,1,0,0,0,0,0,0,0,0,0,1,0,0,84.0,360.0,4320,14,0.68,11
NCT01447732,1188,1188.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,3,2,1,0,1,4.0,17.0,1,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,71,False,1,0,0,0,0,0,0,0,0,0,0,0,1,84.0,84.0,1080,360,0.175,2
NCT05052437,90,127.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,2,1,2,1,18.0,14.0,2,1,1.0,1.0,0.0,['PHASE1'],1.0,0.0,16,False,0,0,0,0,0,0,0,0,0,0,0,0,1,84.0,180.0,1825,365,0.99,5
NCT03003637,956,1445.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,2,1,1,1,1,15.0,23.0,2,0,0.0,1.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,33,False,1,0,0,0,0,0,0,0,0,0,0,0,0,912.5,,49,14,0.99,1
NCT02474537,794,823.0,"(761.0, 1359.667]","(-0.001, 929.333]",0,1,1,4,1,5,0,14.0,7.0,1,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,31,True,1,0,0,0,0,0,0,0,0,0,0,0,1,3.0,30.0,1080,360,0.175,2
NCT01770132,1546,2018.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,3,1,1,1,0,5.0,36.0,4,0,0.0,2.0,1.0,['PHASE1'],0.0,0.0,12,False,1,0,0,0,0,0,0,0,0,0,1,0,1,1460.0,1460.0,1080,360,0.175,2
NCT01673737,914,914.0,"(761.0, 1359.667]","(-0.001, 929.333]",0,1,1,2,1,4,2,6.0,34.0,2,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,75,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,730.0,4320,14,0.68,11
NCT02916537,361,361.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,2,1,1,0,34.0,5.0,2,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,20,False,0,1,0,0,0,0,0,0,0,0,0,0,1,7.0,84.0,1080,360,0.175,2
