protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,survival_5yr_relative,phase_PHASE1_PHASE2,phase_PHASE1
NCT02077166,2471.0,2471.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,2,7,1,40,2,9.0,8.0,3,1,2.0,1.0,1.0,0.0,0.0,138.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,1788.0,1788.0,0.83,True,False
NCT00854126,1157.0,1157.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,1,0,2,15.0,32.0,1,1,0.0,1.0,0.0,0.0,0.0,38.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,,,0.83,False,True
NCT00232440,2343.0,2343.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,2,0,1,1,1,1.0,2.0,1,0,0.0,1.0,0.0,0.0,0.0,20.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.83,True,False
NCT01026415,882.0,882.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,5,4,1,6,0,4.0,7.0,5,1,1.0,1.0,0.0,0.0,0.0,73.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,42.0,42.0,0.83,False,True
NCT01356173,549.0,549.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,1,0,2,12.0,29.0,1,1,0.0,1.0,0.0,1.0,0.0,10.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,30.0,730.0,0.83,False,True
NCT01000285,1338.0,2039.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,6,0,23.0,13.0,7,0,0.0,1.0,1.0,0.0,0.0,18.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,1460.0,1460.0,0.83,True,False
NCT02549651,936.0,936.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,3,1,13,2,5.0,5.0,3,1,1.0,1.0,0.0,1.0,0.0,32.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,90.0,1095.0,0.83,False,True
NCT00360438,274.0,274.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,3,1,1,1,0,10.0,13.0,1,0,0.0,1.0,0.0,0.0,0.0,18.0,True,1,0,0,0,0,0,0,0,0,0,0,0,0,1460.0,,0.83,True,False
NCT02240719,1286.0,1286.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,8,1,1,1,0,12.0,24.0,2,0,0.0,1.0,1.0,0.0,0.0,20.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,30.0,0.598,False,True
NCT00854152,2071.0,2071.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,0,2,11.0,35.0,1,1,0.0,1.0,0.0,0.0,0.0,121.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,,,0.83,False,True
NCT00215605,2038.0,2495.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,3,1,1,5,0,7.0,8.0,1,1,0.0,1.0,0.0,0.0,0.0,85.0,False,1,0,0,0,0,0,0,0,0,0,0,1,0,,,0.83,False,True
NCT00060645,1096.0,2103.0,"(29.999, 1310.0]","(1553.0, 8888.0]",1,0,3,1,1,1,0,7.0,24.0,1,1,0.0,1.0,0.0,0.0,0.0,33.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.598,False,True
NCT00060632,914.0,914.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,3,6,1,0,1,7.0,28.0,1,1,0.0,1.0,0.0,0.0,0.0,46.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,300.0,56.0,0.598,False,True
NCT02293109,727.0,756.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,6,1,1,1,0,12.0,15.0,11,0,0.0,2.0,1.0,0.0,0.0,10.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,56.0,112.0,0.83,False,True
NCT00081874,883.0,883.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,3,1,2,1,0,6.0,6.0,1,0,0.0,1.0,0.0,0.0,0.0,29.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,28.0,0.83,True,False
NCT00556452,1339.0,1797.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,5,1,2,1,0,14.0,10.0,3,0,0.0,1.0,0.0,0.0,0.0,46.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,730.0,1825.0,0.598,True,False
NCT01241734,1522.0,1817.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,2,0,23.0,15.0,1,0,0.0,1.0,1.0,0.0,0.0,18.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,28.0,730.0,0.83,True,False
NCT02912676,1247.0,1278.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,1,0,4,1,25.0,13.0,1,0,0.0,2.0,1.0,0.0,0.0,30.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.83,True,False
NCT01129180,731.0,945.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,12,1,1,1,0,36.0,18.0,3,0,0.0,2.0,1.0,0.0,0.0,8.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,730.0,730.0,0.83,False,True
NCT00876122,1553.0,1583.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,0,1,12.0,31.0,1,1,0.0,1.0,0.0,0.0,0.0,60.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,,,0.83,False,True
NCT00002625,1858.0,2011.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,3,1,1,1,0,17.0,10.0,3,0,0.0,1.0,0.0,0.0,0.0,5.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.99,False,True
NCT00450502,1520.0,1520.0,"(1310.0, 8888.0]","(29.999, 1553.0]",0,1,1,0,1,1,0,20.0,4.0,1,0,0.0,1.0,0.0,0.0,0.0,33.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.68,False,True
NCT02600897,2092.0,2092.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,4,1,28,2,18.0,18.0,4,1,1.0,1.0,1.0,0.0,0.0,114.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,2070.0,2070.0,0.83,True,False
NCT01555242,518.0,518.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,1,1,1,22.0,13.0,1,1,0.0,1.0,0.0,0.0,0.0,22.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,,,0.68,False,True
NCT01193842,2229.0,4243.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,16,2,1,35,0,50.0,23.0,9,0,1.0,1.0,0.0,1.0,0.0,107.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,1825.0,730.0,0.83,True,False
NCT02431988,1341.0,2119.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,2,1,1,10.0,13.0,4,0,0.0,1.0,1.0,0.0,0.0,10.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,365.0,1095.0,0.83,False,True
