protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,survival_5yr_relative,phase_PHASE1_PHASE2,phase_PHASE1
NCT03786484,1733,1733.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,5,2,1,1,8.0,10.0,1,1,2.0,1.0,0.0,0.0,0.0,54,False,1,0,0,0,0,0,0,0,0,0,1,1,1,28.0,730.0,0.68,False,True
NCT03144778,1342,1342.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,3,2,1,1,0,16.0,29.0,2,0,1.0,1.0,0.0,1.0,0.0,39,False,1,0,0,0,0,0,0,0,0,0,0,0,1,1825.0,1825.0,0.99,False,True
NCT01352884,976,1037.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,2,1,4,0,16.0,19.0,2,1,1.0,1.0,0.0,0.0,0.0,44,False,1,0,0,0,0,0,0,0,0,0,0,0,1,56.0,84.0,0.68,False,True
NCT01598077,608,608.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,5,1,1,8,2,2.0,8.0,1,1,0.0,1.0,0.0,0.0,0.0,54,False,1,0,0,0,0,0,0,0,0,0,0,1,1,28.0,540.0,0.99,False,True
NCT03168035,1247,1247.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,2,1,1,1,0,13.0,15.0,1,1,0.0,1.0,0.0,0.0,0.0,34,False,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0,21.0,0.83,False,True
NCT04310410,356,417.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,10,1,1,2,1,15.0,22.0,1,0,2.0,0.0,0.0,0.0,0.0,10,False,0,0,0,0,0,0,0,0,0,0,0,0,1,28.0,28.0,0.68,True,False
NCT01421017,1778,1814.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,3,3,1,1,0,19.0,12.0,3,0,1.0,1.0,1.0,0.0,0.0,31,False,1,0,0,0,0,0,0,0,0,0,0,0,0,63.0,63.0,0.99,True,False
NCT01634061,1033,1033.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,4,1,10,2,10.0,8.0,4,1,1.0,1.0,0.0,0.0,0.0,43,False,1,0,0,0,0,0,0,0,0,0,1,0,1,84.0,84.0,0.175,False,True
NCT01634893,1278,1278.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,1,1,1,0,19.0,11.0,1,0,0.0,1.0,1.0,0.0,0.0,18,False,1,0,0,0,0,0,0,0,0,0,0,0,0,730.0,,0.68,False,True
NCT02143271,214,214.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,1,1,4.0,9.0,1,1,0.0,1.0,0.0,0.0,0.0,13,False,1,0,0,0,0,0,0,0,0,0,0,0,1,8.0,7.0,0.175,False,True
NCT02404480,402,402.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,7,1,4,2,5.0,7.0,1,1,1.0,1.0,0.0,0.0,0.0,31,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,28.0,0.68,False,True
NCT02507583,917,1812.0,"(-0.001, 1035.0]","(1232.0, 4453.0]",1,0,2,1,1,1,0,8.0,7.0,1,0,0.0,2.0,0.0,0.0,0.0,33,False,1,0,0,0,0,0,0,0,0,0,0,0,1,1080.0,720.0,0.68,False,True
NCT01674556,1065,1065.0,"(1035.0, 4453.0]","(-0.001, 1232.0]",0,1,1,1,2,1,1,3.0,13.0,1,0,0.0,1.0,0.0,0.0,0.0,25,False,1,0,0,0,0,0,0,0,0,0,0,0,0,730.0,365.0,0.175,False,True
NCT01436565,912,912.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,3,0,8.0,31.0,2,1,0.0,1.0,0.0,0.0,0.0,26,False,1,0,0,0,0,0,0,0,0,0,0,0,1,360.0,730.0,0.68,False,True
NCT01975454,1614,2070.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,2,1,2,1,8.0,11.0,2,0,1.0,1.0,0.0,1.0,0.0,62,False,1,0,0,0,0,0,0,0,0,0,1,0,1,60.0,60.0,0.175,True,False
NCT02337205,456,456.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,1,0,31.0,36.0,1,1,0.0,1.0,0.0,0.0,0.0,29,False,1,0,0,0,0,0,0,0,0,0,0,0,1,45.0,45.0,0.99,False,True
NCT05003622,221,221.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,3,1,1,1,1,21.0,30.0,1,1,0.0,1.0,0.0,0.0,0.0,3,False,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,180.0,0.94,False,True
NCT01264731,517,517.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,2,1,1,0,31.0,32.0,2,0,1.0,0.0,1.0,0.0,0.0,4,False,1,0,0,0,0,0,0,0,0,0,0,0,0,180.0,180.0,0.94,False,True
NCT02206425,1236,1282.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,10,1,12,0,32.0,15.0,8,1,1.0,1.0,1.0,0.0,0.0,45,False,1,0,0,0,0,0,0,0,0,0,1,1,1,1440.0,1440.0,0.598,True,False
NCT02193347,1467,1467.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,5,1,1,1,0,19.0,17.0,3,0,0.0,2.0,1.0,0.0,0.0,24,False,1,0,0,0,0,0,0,0,0,0,0,0,0,60.0,168.0,0.326,False,True
NCT02164461,735,735.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,9,3,1,0,0,7.0,8.0,1,1,2.0,1.0,0.0,0.0,0.0,12,False,1,0,0,0,0,0,0,0,0,0,0,1,1,839.4999999999999,547.5,0.99,False,True
NCT02649764,2260,2260.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,5,1,1,1,0,14.0,10.0,4,0,0.0,1.0,0.0,0.0,0.0,15,False,1,0,0,0,0,0,0,0,0,0,1,1,0,28.0,730.0,0.65,False,True
NCT01169636,2298,2298.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,3,2,1,0,17.0,27.0,6,0,0.0,1.0,0.0,1.0,0.0,62,False,1,0,0,0,0,0,0,0,0,0,0,0,0,2190.0,480.0,0.83,True,False
NCT02576548,973,973.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,9,1,5,0,14.0,7.0,1,1,0.0,1.0,0.0,0.0,0.0,47,False,1,0,0,0,0,0,0,0,0,0,1,0,1,90.0,1095.0,0.99,False,True
NCT02122861,1629,1660.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,3,1,1,7,0,16.0,42.0,1,1,0.0,1.0,1.0,0.0,0.0,47,False,1,0,0,0,0,0,0,0,0,0,0,0,1,1825.0,84.0,0.99,False,True
NCT02318771,1216,2240.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,9,4,1,1,0,17.0,36.0,2,0,1.0,1.0,1.0,1.0,0.0,41,False,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1460.0,0.99,False,True
NCT01437007,300,300.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,5,0,1,1,0,29.0,13.0,1,0,0.0,1.0,0.0,0.0,0.0,1,False,1,0,0,0,0,0,0,0,0,0,0,0,0,730.0,912.5,0.99,False,True
NCT02092038,242,242.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,1,0,9.0,4.0,4,0,0.0,1.0,0.0,0.0,0.0,1,False,1,0,0,0,0,0,0,0,0,0,1,0,0,112.0,360.0,0.326,False,True
NCT01975831,2173,2752.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,5,9,1,6,0,27.0,48.0,2,0,2.0,1.0,0.0,0.0,0.0,104,False,1,0,0,0,0,0,0,0,0,0,1,0,1,1080.0,1440.0,0.99,False,True
NCT00854867,608,608.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,2,2,1,6,1,21.0,14.0,2,1,1.0,1.0,1.0,1.0,0.0,18,False,1,0,0,0,0,0,0,0,0,0,1,0,0,90.0,90.0,0.68,False,True
NCT02163057,894,894.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,2,1,1,0,11.0,5.0,2,1,1.0,1.0,0.0,0.0,0.0,22,False,1,0,0,0,0,0,0,0,0,0,0,0,1,180.0,180.0,0.99,True,False
NCT04069026,1616,1616.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,2,1,17,2,30.0,20.0,2,1,2.0,1.0,0.0,0.0,0.0,78,False,1,0,0,0,0,0,0,0,0,0,0,0,1,90.0,63.0,0.68,False,True
NCT03466450,2085,2085.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,1,1,8,1,14.0,23.0,2,0,2.0,1.0,1.0,0.0,0.0,75,False,1,0,0,0,0,0,0,0,0,0,1,0,1,450.0,720.0,0.326,True,False
NCT03394885,762,762.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,2,1,1,3,0,16.0,42.0,4,0,0.0,1.0,0.0,0.0,0.0,18,False,1,0,0,0,0,0,0,0,0,0,1,0,1,540.0,540.0,0.68,True,False
NCT01816230,1522,1887.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,4,1,2,15,2,9.0,7.0,1,1,0.0,1.0,1.0,0.0,0.0,36,False,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0,,0.65,True,False
