study_duration_days,study_eq_bins,study_eq_labels,num_oms,number_of_intervention_types,num_locations,number_of_conditions,allocation,masking,enroll_count,biological_intervention,procedure_intervention,drug_intervention,radiation_intervention,treatment_purpose,prevention_purpose,us_led,us_included,nci_sponsor,spacy_aes_outcome,spacy_osr_outcome,spacy_mtd_outcome,spacy_dor_outcome,spacy_dlt_outcome,spacy_cmax_outcome,spacy_aes_lead_outcome,spacy_dlt_lead_outcome,spacy_mtd_lead_outcome,spacy_tmax_outcome
1767.0,High,1,6,2,0,1,missing,False,84,False,False,False,False,1,0,True,True,False,False,False,True,False,True,True,False,True,True,True
1707.0,High,1,1,1,1,1,False,False,18,False,False,False,False,1,0,True,True,False,False,False,False,False,False,True,False,False,False,True
2580.0,High,1,8,2,1,7,False,False,27,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
474.0,Low,0,4,3,1,1,missing,False,34,False,False,False,False,1,0,False,False,False,True,True,False,False,False,True,True,False,False,True
1235.0,Low,0,7,1,2,1,missing,False,42,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
671.0,Low,0,3,4,0,1,True,False,24,False,False,False,False,1,0,False,False,False,True,True,False,False,True,False,True,True,False,missing
1668.0,High,1,4,2,1,18,missing,False,18,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,False,True,True,missing
1028.0,Low,0,14,1,4,6,missing,False,67,False,False,False,False,1,0,False,False,False,True,True,False,False,True,True,True,False,False,True
1464.0,High,1,13,2,48,1,False,False,116,False,False,False,False,1,0,False,True,False,False,True,True,False,True,True,False,True,True,True
2161.0,High,1,6,1,1,1,False,False,101,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
1095.0,Low,0,3,2,1,1,True,False,30,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,missing
1279.0,Low,0,7,3,11,5,False,False,24,False,False,False,False,1,0,True,True,False,True,False,False,False,False,False,True,False,False,missing
1457.0,High,1,7,1,9,1,missing,False,25,False,False,False,False,1,0,False,True,False,True,False,False,False,False,False,False,False,False,missing
1887.0,High,1,2,3,2,1,False,False,22,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,missing
2631.0,High,1,12,2,21,1,False,False,269,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
1342.0,Low,0,6,1,1,1,missing,False,37,False,False,False,False,1,0,False,False,False,True,False,False,False,False,True,False,False,False,True
2011.0,High,1,8,2,9,1,missing,False,65,False,False,False,False,1,0,False,False,False,False,False,True,False,True,False,False,True,True,missing
